rank,category,strategy_name,description,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,composite_score,parameters
539,unknown,Crossover_SMA20_SMA100_H6,Unknown strategy on H6,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'H6'}"
540,unknown,Crossover_SMA20_SMA100_H8,Unknown strategy on H8,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'H8'}"
541,unknown,Crossover_SMA20_SMA100_H12,Unknown strategy on H12,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'H12'}"
542,unknown,Crossover_SMA20_SMA100_D,Unknown strategy on D,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'D'}"
543,unknown,Crossover_SMA20_SMA100_W,Unknown strategy on W,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'W'}"
544,unknown,Crossover_SMA20_SMA100_M,Unknown strategy on M,,,-9.478991403030038,-0.946310230295889,0.5056775170325511,1.0171853071987211,1329,-3.685092080835094,"{'fast_ma_type': 'SMA', 'fast_ma_period': 20, 'slow_ma_type': 'SMA', 'slow_ma_period': 100, 'timeframe': 'M'}"
545,unknown,MeanRev_EMA50_M1_2pct_zscore,Unknown strategy on M1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
546,unknown,MeanRev_EMA50_M1_3pct_zscore,Unknown strategy on M1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
547,unknown,MeanRev_EMA50_M1_5pct_zscore,Unknown strategy on M1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
548,unknown,MeanRev_EMA50_M1_8pct_zscore,Unknown strategy on M1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
549,unknown,MeanRev_EMA50_M1_10pct_zscore,Unknown strategy on M1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
550,unknown,MeanRev_EMA50_M2_2pct_zscore,Unknown strategy on M2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
551,unknown,MeanRev_EMA50_M2_3pct_zscore,Unknown strategy on M2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
552,unknown,MeanRev_EMA50_M2_5pct_zscore,Unknown strategy on M2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
553,unknown,MeanRev_EMA50_M2_8pct_zscore,Unknown strategy on M2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
554,unknown,MeanRev_EMA50_M2_10pct_zscore,Unknown strategy on M2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
555,unknown,MeanRev_EMA50_M3_2pct_zscore,Unknown strategy on M3,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
556,unknown,MeanRev_EMA50_M3_3pct_zscore,Unknown strategy on M3,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
557,unknown,MeanRev_EMA50_M3_5pct_zscore,Unknown strategy on M3,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
558,unknown,MeanRev_EMA50_M3_8pct_zscore,Unknown strategy on M3,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
559,unknown,MeanRev_EMA50_M3_10pct_zscore,Unknown strategy on M3,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
560,unknown,MeanRev_EMA50_M5_2pct_zscore,Unknown strategy on M5,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
561,unknown,MeanRev_EMA50_M5_3pct_zscore,Unknown strategy on M5,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
562,unknown,MeanRev_EMA50_M5_5pct_zscore,Unknown strategy on M5,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
563,unknown,MeanRev_EMA50_M5_8pct_zscore,Unknown strategy on M5,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
564,unknown,MeanRev_EMA50_M5_10pct_zscore,Unknown strategy on M5,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
565,unknown,MeanRev_EMA50_M10_2pct_zscore,Unknown strategy on M10,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
566,unknown,MeanRev_EMA50_M10_3pct_zscore,Unknown strategy on M10,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
567,unknown,MeanRev_EMA50_M10_5pct_zscore,Unknown strategy on M10,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
568,unknown,MeanRev_EMA50_M10_8pct_zscore,Unknown strategy on M10,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
569,unknown,MeanRev_EMA50_M10_10pct_zscore,Unknown strategy on M10,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
570,unknown,MeanRev_EMA50_M15_2pct_zscore,Unknown strategy on M15,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
571,unknown,MeanRev_EMA50_M15_3pct_zscore,Unknown strategy on M15,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
572,unknown,MeanRev_EMA50_M15_5pct_zscore,Unknown strategy on M15,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
573,unknown,MeanRev_EMA50_M15_8pct_zscore,Unknown strategy on M15,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
574,unknown,MeanRev_EMA50_M15_10pct_zscore,Unknown strategy on M15,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
575,unknown,MeanRev_EMA50_M30_2pct_zscore,Unknown strategy on M30,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
576,unknown,MeanRev_EMA50_M30_3pct_zscore,Unknown strategy on M30,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
577,unknown,MeanRev_EMA50_M30_5pct_zscore,Unknown strategy on M30,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
578,unknown,MeanRev_EMA50_M30_8pct_zscore,Unknown strategy on M30,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
579,unknown,MeanRev_EMA50_M30_10pct_zscore,Unknown strategy on M30,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
580,unknown,MeanRev_EMA50_H1_2pct_zscore,Unknown strategy on H1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
581,unknown,MeanRev_EMA50_H1_3pct_zscore,Unknown strategy on H1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
582,unknown,MeanRev_EMA50_H1_5pct_zscore,Unknown strategy on H1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
583,unknown,MeanRev_EMA50_H1_8pct_zscore,Unknown strategy on H1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
584,unknown,MeanRev_EMA50_H1_10pct_zscore,Unknown strategy on H1,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
585,unknown,MeanRev_EMA50_H2_2pct_zscore,Unknown strategy on H2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
586,unknown,MeanRev_EMA50_H2_3pct_zscore,Unknown strategy on H2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
587,unknown,MeanRev_EMA50_H2_5pct_zscore,Unknown strategy on H2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
588,unknown,MeanRev_EMA50_H2_8pct_zscore,Unknown strategy on H2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
589,unknown,MeanRev_EMA50_H2_10pct_zscore,Unknown strategy on H2,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
590,unknown,MeanRev_EMA50_H4_2pct_zscore,Unknown strategy on H4,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
591,unknown,MeanRev_EMA50_H4_3pct_zscore,Unknown strategy on H4,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
592,unknown,MeanRev_EMA50_H4_5pct_zscore,Unknown strategy on H4,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
593,unknown,MeanRev_EMA50_H4_8pct_zscore,Unknown strategy on H4,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
594,unknown,MeanRev_EMA50_H4_10pct_zscore,Unknown strategy on H4,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
595,unknown,MeanRev_EMA50_H6_2pct_zscore,Unknown strategy on H6,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
596,unknown,MeanRev_EMA50_H6_3pct_zscore,Unknown strategy on H6,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
597,unknown,MeanRev_EMA50_H6_5pct_zscore,Unknown strategy on H6,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
598,unknown,MeanRev_EMA50_H6_8pct_zscore,Unknown strategy on H6,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
599,unknown,MeanRev_EMA50_H6_10pct_zscore,Unknown strategy on H6,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
600,unknown,MeanRev_EMA50_H8_2pct_zscore,Unknown strategy on H8,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
601,unknown,MeanRev_EMA50_H8_3pct_zscore,Unknown strategy on H8,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
602,unknown,MeanRev_EMA50_H8_5pct_zscore,Unknown strategy on H8,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
603,unknown,MeanRev_EMA50_H8_8pct_zscore,Unknown strategy on H8,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
604,unknown,MeanRev_EMA50_H8_10pct_zscore,Unknown strategy on H8,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
605,unknown,MeanRev_EMA50_H12_2pct_zscore,Unknown strategy on H12,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
606,unknown,MeanRev_EMA50_H12_3pct_zscore,Unknown strategy on H12,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
607,unknown,MeanRev_EMA50_H12_5pct_zscore,Unknown strategy on H12,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
608,unknown,MeanRev_EMA50_H12_8pct_zscore,Unknown strategy on H12,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
609,unknown,MeanRev_EMA50_H12_10pct_zscore,Unknown strategy on H12,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
610,unknown,MeanRev_EMA50_D_2pct_zscore,Unknown strategy on D,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
611,unknown,MeanRev_EMA50_D_3pct_zscore,Unknown strategy on D,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
612,unknown,MeanRev_EMA50_D_5pct_zscore,Unknown strategy on D,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
613,unknown,MeanRev_EMA50_D_8pct_zscore,Unknown strategy on D,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
614,unknown,MeanRev_EMA50_D_10pct_zscore,Unknown strategy on D,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
615,unknown,MeanRev_EMA50_W_2pct_zscore,Unknown strategy on W,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
616,unknown,MeanRev_EMA50_W_3pct_zscore,Unknown strategy on W,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
617,unknown,MeanRev_EMA50_W_5pct_zscore,Unknown strategy on W,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
618,unknown,MeanRev_EMA50_W_8pct_zscore,Unknown strategy on W,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
619,unknown,MeanRev_EMA50_W_10pct_zscore,Unknown strategy on W,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
620,unknown,MeanRev_EMA50_M_2pct_zscore,Unknown strategy on M,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
621,unknown,MeanRev_EMA50_M_3pct_zscore,Unknown strategy on M,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
622,unknown,MeanRev_EMA50_M_5pct_zscore,Unknown strategy on M,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
623,unknown,MeanRev_EMA50_M_8pct_zscore,Unknown strategy on M,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'distance_threshold': 0.08, 'signal_type': 'zscore'}"
624,unknown,MeanRev_EMA50_M_10pct_zscore,Unknown strategy on M,,,-9.546159856848869,-0.9999992526031959,0.5045383411580595,1.0062117865241007,6392,-3.7175561997682554,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'distance_threshold': 0.1, 'signal_type': 'zscore'}"
625,unknown,MeanRev_WMA50_M1_2pct_zscore,Unknown strategy on M1,,,-9.739052177931415,-0.9999992404933548,0.4992575224697147,1.0058953891283806,6402,-3.795769290727959,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.02, 'signal_type': 'zscore'}"
626,unknown,MeanRev_WMA50_M1_3pct_zscore,Unknown strategy on M1,,,-9.739052177931415,-0.9999992404933548,0.4992575224697147,1.0058953891283806,6402,-3.795769290727959,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.03, 'signal_type': 'zscore'}"
627,unknown,MeanRev_WMA50_M1_5pct_zscore,Unknown strategy on M1,,,-9.739052177931415,-0.9999992404933548,0.4992575224697147,1.0058953891283806,6402,-3.795769290727959,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M1', 'distance_threshold': 0.05, 'signal_type': 'zscore'}"
